ID,area,perimeter,equivalent_diameter,orientation,aspect_ratio,circularity,solidity,morphology_class
84,696,104.32590180780451,29.768686956862464,-0.3443743353429453,1.5717320134647796,0.8035905272456529,0.9392712550607287,Small
85,1111,129.1543289325507,37.61075822422045,1.2536693560643262,1.6237439262017688,0.8369624780124972,0.9703056768558952,Small
86,1965,214.8528137423857,50.01915338552418,-1.2914727128499235,3.5855712662255255,0.5349218371099366,0.9361600762267747,Deformed
87,1237,139.25483399593904,39.686235861283144,-1.4978745720467792,1.760833353023084,0.8016023908377243,0.9596586501163693,Small
88,976,123.59797974644667,35.25169209643019,0.11514147489982463,1.7476392894064472,0.8028546692091448,0.9711442786069652,Small
89,1615,193.82337649086284,45.34624421875849,-1.0829641887815238,3.333678091737386,0.5402192813942502,0.9113995485327314,Deformed
90,587,93.25483399593904,27.33846397952051,1.1724755718980733,1.472444206172615,0.8482136528908576,0.952922077922078,Small
91,939,126.66904755831213,34.57704343211429,-1.5530396275575018,1.9223721565191036,0.7354183230981411,0.9333996023856859,Small
92,1176,142.46803743153546,38.69534474078957,0.2815917881951214,2.2096995141368714,0.7280853663283677,0.9592169657422512,Small
93,1625,184.71067811865473,45.4864184146723,1.3375115529796813,2.8775519477007916,0.5985207671287736,0.9333716255025847,Deformed
94,897,169.0538238691624,33.79490896018868,-1.4094771709405933,1.9637182005390745,0.3944139888196138,0.7854640980735552,Small
95,2136,264.8944443027283,52.150164597576364,-1.2550910299583917,5.292580026214675,0.3825299227178679,0.9163449163449163,Deformed
96,1899,246.93607486307093,49.17196249339733,-1.143619969011122,5.268808364234358,0.3913503689234323,0.8970240906943788,Deformed
97,499,85.01219330881977,25.206081266687335,-0.991958281259889,1.2163312270726432,0.8676567853774512,0.9504761904761905,Small
98,1087,169.5391052434009,37.202303492218356,1.4676592804721782,2.6524175834870984,0.4752253886186635,0.8752012882447665,Small
